Sec_Code,Sec_Name,Class_L3,First_Date,Buy_Dates,Flag_FeiBiao
GTYL01.IB,国投雅砻江项目计划01,Debt plan,2016-03-01,2016-03-01,TRUE
GTYL02.IB,国投雅砻江项目计划02,Debt plan,2016-03-01,2016-03-01,TRUE
GTYL03.IB,国投雅砻江项目计划03,Debt plan,2016-03-01,2016-03-01,TRUE
ZHDCDP.IB,中航地产债权投资计划,Debt plan,2016-03-01,2016-03-01,TRUE
CCZC01.IB,长城资产集合资金信托,Trust,2016-03-01,2016-03-01,TRUE
HRZC01.IB,华融资产集合资金信托,Trust,2016-03-01,2016-03-01,TRUE
LDKG01.IB,绿地控股集团信托,Trust,2016-03-01,2016-03-01,TRUE
CDSDCC.IB,五矿信托-成都蜀都川菜应收款信托,Trust,2016-08-12,2016-08-12,TRUE
WKXT-SCSTXT.IB,五矿信托-四川商投信托贷款集合资金信托计划,Trust,2017-04-06,2017-04-06,TRUE
HZ-GYHRJRZX.IB,合众-贵阳华融金融中心棚改项目债权投资计划,Debt plan,2017-05-19,2017-05-19,TRUE
CJYL-YNCTPG.IB,长江养老-云南城投棚改债权投资计划,Debt plan,2017-04-26,2017-04-26,TRUE
101552026.IB,15晋能MTN001,Corporate bond,2017-01-10,2017-01-10,FALSE
1180145.IB,11同煤债01,Corporate bond,2017-01-09,2017-01-09,FALSE
122176.SH,12中储债,Corporate bond,2016-03-25,2016-03-25,FALSE
124946.SH,14保利集,Corporate bond,2016-03-25,2016-03-25,FALSE
1280107.IB,12国网债02,Corporate bond,2016-03-07,2016-03-05,FALSE
511880.SH,银华日利,MMF,2016-09-19,2016-09-19,FALSE
1280161.IB,12首开债,Corporate bond,2016-03-07,2016-03-05,FALSE
041666014.IB,16深圳水务CP002,ST financial bill,2017-06-20,2017-06-20,FALSE
HT-XXWJTBUCZQJH.IB,华泰-新希望集团不动产债权计划,Debt plan,2017-06-29,2017-06-29,TRUE
990006.IB,中意资产-日日增利资产管理产品,IAMP-MMP-NAV,2017-08-01,2017-08-01,FALSE
101669018.IB,16潞安MTN001,Corporate bond,2017-10-23,2017-10-23,FALSE
990077.OTC,华安财保资管华安财保资管1号,IAMP-MMP-NAV,2017-12-14,2017-12-14,FALSE
GDXTBC3.OTC,光大信托保诚3号信托计划,Trust,2018-03-22,2018-03-22,TRUE
